id,date,name,price,volume
1127109,2025-05-08,ACGL,90.68,2732889
1127229,2025-05-08,ACT,36.45,491277
1127163,2025-05-08,AEG,6.62,22097160
1127166,2025-05-08,AFG,122.8,546370
1127099,2025-05-08,AFL,109.14,1613620
1127093,2025-05-08,AIG,81.82,3709875
1127171,2025-05-08,AIZ,194.87,579558
1127091,2025-05-08,AJG,338.47,1036086
1127102,2025-05-08,ALL,202.62,1184426
1127145,2025-05-08,ALLY,33.5,2519284
1127220,2025-05-08,AMG,181.16,330551
1127105,2025-05-08,AMP,489.0,390278
1127084,2025-05-08,AON,357.11,1181567
1127083,2025-05-08,APO,133.19,4350968
1127157,2025-05-08,ARCC,21.0,4530096
1127103,2025-05-08,ARES,165.85,1785211
1127056,2025-05-08,AXP,283.66,2695941
1127205,2025-05-08,AXS,100.75,710166
1127054,2025-05-08,BAC,41.6,41827756
1127147,2025-05-08,BAM,56.87,2397362
1127154,2025-05-08,BAP,203.92,223868
1127260,2025-05-08,BBAR,20.03,581923
1127086,2025-05-08,BBVA,14.43,1643124
1127164,2025-05-08,BCH,30.73,232993
1127107,2025-05-08,BCS,16.11,12783594
1127159,2025-05-08,BEN,20.84,6730778
1127104,2025-05-08,BK,85.5,4467244
1127068,2025-05-08,BLK,928.64,626662
1127222,2025-05-08,BMA,86.95,219351
1127087,2025-05-08,BMO,99.13,671209
1127080,2025-05-08,BN,57.61,3089524
1127088,2025-05-08,BNS,50.35,1191958
1127244,2025-05-08,BNT,58.04,22953
1127200,2025-05-08,BOKF,95.69,170157
1127192,2025-05-08,BPOP,100.49,427466
1127050,2025-05-08,BRK-A,769000.0,427
1127125,2025-05-08,BRO,111.53,1347166
1127176,2025-05-08,BSAC,24.5,613696
1127262,2025-05-08,BSBR,5.28,1302352
1127061,2025-05-08,BX,139.81,4174461
1127201,2025-05-08,BXSL,29.74,1019878
1127060,2025-05-08,C,71.64,9481537
1127198,2025-05-08,CACC,493.5,182776
1127217,2025-05-08,CADE,30.75,750149
1127070,2025-05-08,CB,288.97,1161187
1127246,2025-05-08,CEF,28.97,584474
1127146,2025-05-08,CFG,39.0,3868963
1127190,2025-05-08,CFR,125.0,335260
1127149,2025-05-08,CG,41.26,4044423
1127173,2025-05-08,CIB,41.18,216802
1127135,2025-05-08,CINF,146.67,429176
1127129,2025-05-08,CM,63.76,630127
1127187,2025-05-08,CMA,56.04,1212144
1127078,2025-05-08,CME,281.99,1620047
1127160,2025-05-08,CNA,48.37,222489
